Bureau of Justice Statistics,,,,,,,,
Filename: 18upr9yfp0514f09.csv,,,,,,,,
"Figure 9. Annual percentage of prisoners released in 30 states in 2005 who were arrested for any type of offense, by most serious commitment offense",,,,,,,,
Report title: 2018 Update on Prisoner Recidivism: A 9-Year Follow-up Period (2005-2014)    NCJ 250975,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005–2014.",,,,,,,,
"Authors: Mariel Alper, Ph.D., and Matthew R. Durose, BJS Statisticians; Joshua Markman, former BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 5/23/2018,,,,,,,,
,,,,,,,,
"Figure 9. Annual percentage of prisoners released in 30 states in 2005 who were arrested for any type of offense, by most serious commitment offense",,,,,,,,
,,,,,,,,
,Percent of released prisoners arrested*,,,,,,,
,Most serious offense for which they were in prison,,,,,,,
Year after release,  Violent ,,  Property*,,  Drug ,,  Public order ,
1,38.95,%,50.81,%,42.81,%,40.46,%
2,33.7,,41.62,,38.48,,34.32,
3,30.36,,38.27,,34.9,,31.23,
4,28.13,,36.52,,31.79,,28.94,
5,27.21,,33.2,,30.2,,28.02,
6,25,,31.28,,27.62,,27,
7,25.17,,30.61,,26.69,,25.8,
8,24.11,,29.34,,24.99,,23.79,
9,21.44,,27.57,,23.4,,22.48,
,,,,,,,,
Note: Public order includes 0.8% of cases in which prisoners' most serious offense was unspecified. See table 6 for estimates and appendix table 8 for standard errors. ,,,,,,,,
*Persons could have been in prison for more than one offense; the most serious one is reported in this figure.,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection, 2005-2014.",,,,,,,,
