,pitch_id,is_strike
0,f2204560,0
1,4a16102e,1
2,73ffabd3,0
3,60ed54c3,0
4,5d720732,1
5,4aa772e1,0
6,debae10c,1
7,c71b9d22,1
8,fd77d5fb,0
9,c43cd8b2,1
10,8aa6b831,1
11,ad3ef341,1
12,93a1c5d0,0
13,1b044969,1
14,7d9613ba,0
15,46d2dc27,1
16,64ce7aef,1
17,b520047c,1
18,1a30f075,1
19,ecd12239,0
20,cfe8ee85,1
21,51c53076,0
22,8a7d4539,1
23,647a6525,0
24,fc9c80d6,0
25,a99efe10,1
26,e5accf52,1
27,e85ac21d,1
28,7118fc44,0
29,10fe5b47,1
30,e6265317,1
31,2a5b8b72,1
32,d7c7d04d,0
33,2cff8693,1
34,e7642280,0
35,f58796d6,0
36,31d0625d,1
37,dce83cba,1
38,c929187b,1
39,58d76084,1
40,8172d75b,0
41,4fe5c282,0
42,9e4482aa,0
43,367fac25,0
44,628c63d0,1
45,e6d0716b,1
46,b17c6f8f,0
47,3564a49f,1
48,81c6d9bb,1
49,fff05079,1
50,1dccdd49,1
51,4a5fa5ce,1
52,8f8feb11,1
53,5f9f2316,1
54,967c855b,1
55,240e0132,1
56,e5e0f38e,1
57,e08a26eb,0
58,c8aee308,0
59,2067ad59,0
60,253c7b2e,1
61,8cdff9ea,1
62,7db66bcb,1
63,0a64b34c,1
64,b910fb8f,1
65,8974cf1b,1
66,17ddc0bc,0
67,591cc36a,1
68,06397638,1
69,8b9b9896,0
70,7bbb2c33,1
71,e2f4b006,1
72,dfb7781d,1
73,c3a6e2c6,1
74,b209d7c4,1
75,8cb072d7,1
76,22aa8e32,1
77,ae42946d,0
78,45ec54e6,1
79,eb94bad6,1
80,ca85351b,1
81,e02e99dc,1
82,e6433082,1
83,15a2ecd9,0
84,f76c26e3,0
85,2ba7f510,0
86,b074b0f4,1
87,42ea18e7,0
88,ce470199,1
89,f575bd32,1
90,c8af6331,1
91,73e2890b,1
92,e6353e88,0
93,0e35306f,1
94,194a0ed7,1
95,c8fd4dec,1
96,cc0b5c7b,1
97,91ae90fc,1
98,6db06d39,1
99,3b6bce7e,1
100,2e52e1d2,1
101,818b4bd2,0
102,4a45b66a,0
103,ad082d86,0
104,70741825,1
105,ce308545,1
106,30dc9d6a,0
107,4a0c9d4e,0
108,8bd08dd6,1
109,a5e18883,1
110,fc5678bd,1
111,1492c972,1
112,1f4e9d16,0
113,2a0ce3c1,1
114,984737a8,0
115,61fb76dc,1
116,6ebab5ff,0
117,00dfc886,1
118,7315710c,1
119,9ae45aab,1
120,1232beb0,1
121,785b6799,0
122,ca785cc6,0
123,8f37d6a0,1
124,eab38f26,1
125,83682db8,0
126,0573e5ef,1
127,aabe9a43,0
128,67b0c847,1
129,be1a739b,1
130,b2a07254,0
131,f3b1038f,1
132,d7861407,1
133,e074b01a,0
134,c202810b,0
135,9c854f07,0
136,7a60f22e,1
137,23b97f97,1
138,3281def9,0
139,df10667d,0
140,d7fa2e27,1
141,58e7c8f9,1
142,0e1852ae,1
143,db086c15,0
144,f69a0e4c,0
145,122dce2e,0
146,ec24f846,0
147,9a875d1f,0
148,01727fa5,0
149,beeef3c6,0
150,c48069c2,1
151,29ec0240,0
152,d8808f41,0
153,4224dfbb,1
154,4ba60e45,1
155,88324275,1
156,6b0b8726,1
157,6a50242d,1
158,a86dd2e6,1
159,a7ee7df4,1
160,d8ebeb2c,0
161,b3bf1a8b,1
162,636a5ff2,1
163,df1d5530,1
164,5d305dc4,1
165,d91ad490,1
166,09940381,1
167,dddc5511,1
168,ecf4b1da,1
169,6e93aa34,1
170,d936581f,1
171,2b51ff71,1
172,92faf82e,1
173,11edee7e,1
174,10c9c91e,1
175,2e88aef3,1
176,ba6ae104,1
177,2fa64350,0
178,e15d792d,1
179,466c3ce1,0
180,bdc9be5a,1
181,0fa9386d,0
182,9f1aa866,1
183,a5e46bf6,0
184,3ab3412c,1
185,d0c2d6ec,0
186,97dbcb4a,1
187,56c9c826,0
188,48af3689,0
189,7dd25035,0
190,8c5cd98d,1
191,1650edea,1
192,1583eef0,1
193,e379df69,1
194,44aa709a,0
195,f7c6a06d,1
196,4558e644,1
197,f173014b,0
198,ebb5df36,0
199,cee0f5a3,0
200,6b6456e6,1
201,e9f38ecf,1
202,abced03b,0
203,781d1805,0
204,f524954c,0
205,ef3acb11,0
206,e4b81df6,1
207,8739042d,1
208,c8262586,0
209,b011f841,1
210,0144a831,1
211,64673042,0
212,3f4df6e2,1
213,b56238a9,1
214,59a9d15c,1
215,475eb8c8,1
216,b2306930,1
217,cfcb33e5,0
218,914c10cb,1
219,95cbfd55,1
220,2e5d64fc,0
221,42769e4a,1
222,733ff2a7,1
223,6df490d6,1
224,5d095404,1
225,0b9decf1,1
226,44b5c43b,1
227,76f47e2c,0
228,56d1d260,1
229,2ef29f07,1
230,b3943312,1
231,c3c7d7ec,0
232,1aa240f2,0
233,3a6e3ef1,1
234,d37317dc,0
235,98f5b591,1
236,ad3cca02,1
237,b995433a,0
238,f5122405,0
239,c46c0a50,1
240,a35edc7f,0
241,22a74e71,1
242,d27d5c9a,1
243,61e728e2,1
244,1ef8bdc8,1
245,dda6621d,1
246,80b3bc55,1
247,64dd2c51,1
248,d1fe191e,1
249,0027bf65,1
250,2d115d7f,1
251,a4d7968d,0
252,2bbd0276,1
253,28144e2f,0
254,61feadc5,1
255,2e18d68e,0
256,8c2dab57,1
257,857c8f48,0
258,723ae392,1
259,b1a4b366,1
260,634b87b2,0
261,a234a8e3,1
262,e404fe91,1
263,76929e41,1
264,63461f13,1
265,7c46cd7b,1
266,4c38b834,1
267,c421029d,1
268,5af5931d,0
269,99c07bb7,1
270,cd278512,1
271,ed18edc9,1
272,83cb70e7,1
273,ae86a8b7,1
274,9a16db81,1
275,729cb617,1
276,1c967c86,1
277,cfdbf221,0
278,6be781fe,0
279,a2d05489,0
280,edf64964,0
281,ccafff8b,1
282,0c6d4d66,0
283,9ab1acb5,1
284,5e6595da,0
285,044220e0,0
286,36a730cb,1
287,23cb72bf,0
288,9463388a,0
289,9afe92f5,1
290,738c4a35,0
291,1f714f23,1
292,8cb34f6b,1
293,30ff1e23,0
294,dd98aae3,1
295,a0ab7722,0
296,7c39b888,1
297,0c9d48c3,0
298,653f1fcf,1
299,5c48cdca,0
300,aa339eaa,1
301,3061c826,0
302,168fd96b,0
303,f1087cc6,0
304,8159c71c,1
305,db6908a9,0
306,92bdbf63,0
307,1f802fef,0
308,846ec6c6,1
309,5a5a7feb,0
310,426c9926,1
311,ad539548,1
312,b4eda95e,1
313,a139a321,0
314,9ad31c7b,1
315,bfe57eaa,0
316,ac692689,1
317,99cbe5fe,1
318,dbf608ce,1
319,29cd87ce,0
320,2b0cdf15,0
321,d37cdade,1
322,d81c7d4c,0
323,a65e1c83,1
324,fb714711,1
325,746a94e4,0
326,37c60ba5,0
327,6aaacc63,1
328,db24e002,1
329,99613709,1
330,abc39e20,0
331,499c6bf1,1
332,a49008d4,1
333,721b6cfc,0
334,2846b88c,1
335,fa713b8f,1
336,d7035521,1
337,faf9761c,1
338,df865618,1
339,c74b67ee,0
340,98fd9121,1
341,c166f314,1
342,dc87f2bc,1
343,38e1b222,0
344,27aec519,1
345,797da5dc,0
346,366deca4,1
347,0a32674a,1
348,f59af633,1
349,50f972d4,1
350,72f2a98a,1
351,612d7314,1
352,84d89e30,1
353,5dd9a12b,1
354,7ae7590b,1
355,2927b135,0
356,509a545a,1
357,3b1acb50,1
358,92a63719,1
359,7400d878,1
360,f31fbdfd,1
361,73471a64,0
362,16f9f546,1
363,a985e540,0
364,543cdd31,1
365,5380a873,1
366,910cf5e0,1
367,0d6532ec,0
368,a0b424bc,1
369,e86c7478,1
370,bdb2f359,0
371,1a484c73,0
372,fdb04945,1
373,64b2f295,0
374,de5af617,1
375,65dbaa47,1
376,ff605bbd,1
377,538031b9,0
378,ca56e792,1
379,d5f59933,0
380,92a47b75,1
381,f35b7833,1
382,3a1466c7,0
383,1bb3afac,1
384,9002b719,0
385,c64d7b37,0
386,badc738f,1
387,fa2fdf83,1
388,c598886b,1
389,ef95aefa,0
390,fb01c00c,1
391,b297c234,0
392,f6dcbda8,1
393,c851d6c5,0
394,19bbacf4,0
395,e020f4cf,0
396,39629f60,0
397,02ae007b,1
398,2f42baa8,0
399,64009f66,0
400,78014e44,1
401,d994bf8a,1
402,afa762df,1
403,7643abf3,0
404,c02d6637,0
405,2c19abc4,0
406,7cc1c411,0
407,02bbf0a1,0
408,728618b4,0
409,b1ff9b31,1
410,242666fa,0
411,9100119b,1
412,f5c93629,0
413,920b90bf,0
414,399fbeba,0
415,5b025a38,1
416,93b64e4d,1
417,23091d9b,0
418,365c9236,0
419,1782ca55,1
420,73a6d19f,1
421,207f62d6,0
422,65f78ae9,1
423,74f63eb6,1
424,f94b635e,0
425,7995fc3a,1
426,97ef7cb8,0
427,ae924fcd,1
428,9c54e200,1
429,7b389cb5,1
430,6672bc7e,1
431,c845e6bb,1
432,ef21612e,1
433,caa0172b,0
434,0161fb6c,1
435,9b498623,1
436,a9635b12,1
437,9ad413a3,1
438,491eaba3,0
439,00a7be0c,1
440,6349887a,0
441,1bbeda7e,1
442,16dd492e,0
443,10e7d94f,1
444,3b7cee54,0
445,4c2969f9,1
446,b3a05aa2,1
447,b8b2b3d1,0
448,1f87c1f8,1
449,de830652,1
450,fe4e3319,0
451,654f4b1e,1
452,8c00e716,1
453,792f6380,1
454,0ebe3152,0
455,5f8a1636,1
456,cf1df64f,1
457,a72e95c8,1
458,ff33b3a9,1
459,311737c8,1
460,4978322e,1
461,8537c063,1
462,647b6b35,0
463,4ae6c3a2,0
464,86227848,0
465,aa8a59b2,1
466,9b3dcf54,1
467,9c922e65,0
468,7574c666,1
469,293b9786,0
470,8fc99fe5,0
471,5d43b9c4,1
472,a7d0b46f,0
473,901143f6,1
474,77358afc,1
475,54fbd403,1
476,d3c4e9b4,1
477,1051f400,0
478,aee1dfaf,1
479,8a7765ac,1
480,830208ca,0
481,b137c7d7,1
482,cae4839b,0
483,17dd8fdb,1
484,6fcf636c,1
485,fb832daf,0
486,74e0db21,1
487,2a1a89ad,0
488,fe591450,0
489,35b880b0,1
490,52ddd19e,1
491,ffd17ca3,0
492,8230456a,1
493,1810cb76,1
494,23775869,0
495,322adff2,1
496,aa426e69,0
497,625af96f,0
498,105d504d,0
499,9aa34adc,1
500,18e41fee,1
501,a7db0f04,0
502,bd6e437a,1
503,e8033607,0
504,4cb6f2ab,0
505,7cb5a1e8,1
506,ae2cde09,1
507,ceee86ff,0
508,39e24dc7,0
509,9ef428ae,1
510,f2f78477,0
511,2ca33470,1
512,627fd177,1
513,afa125d0,1
514,531eaa4b,1
515,5d294e8e,0
516,a86c4d9e,1
517,4a9eb632,1
518,57b33f60,0
519,f3b6b736,0
520,398ffd62,1
521,4325d0f0,1
522,9a60b3c5,0
523,8dedc152,0
524,38143e86,1
525,cc007ebc,0
526,8aa5937c,1
527,668f9b47,0
528,64544b60,1
529,58a2037f,1
530,5b8ba6d5,1
531,b23c920d,0
532,ae2ab871,1
533,9cf354e4,1
534,5cbbb0d9,1
535,cd534b02,0
536,09d4e1ec,0
537,b2b5e712,1
538,677ce513,0
539,36ff25e0,1
540,f519b62a,1
541,861ec01f,1
542,62442a74,1
543,b531217a,0
544,84455fdb,1
545,790eff9a,1
546,af64b7f6,1
547,22fffab9,1
548,288ef58b,1
549,4691743d,0
550,b9bcd092,1
551,b13f0deb,0
552,2166c2c8,1
553,0de7285c,1
554,6368f8a6,1
555,0c421534,1
556,add81af5,0
557,347e2d8a,1
558,5300772e,1
559,ffb2af9d,1
560,620d2ab8,1
561,0a6e6c79,1
562,9d4f0ff2,1
563,62da36de,0
564,ad130bac,1
565,4e8b3190,1
566,a5cf9964,1
567,601aa2a5,0
568,3e227b73,1
569,9ca921ad,0
570,a9b1133a,1
571,c6763829,0
572,5fbf0f70,0
573,02513d7a,1
574,2e8ffb66,0
575,05faa173,1
576,b9561d7a,0
577,e887b339,0
578,1c64915d,1
579,4998657a,0
580,3778ec2a,1
581,907bf467,1
582,9ff07a5a,1
583,87ccf477,0
584,3eee8da0,1
585,bca90286,0
586,e9ac9741,1
587,899b7625,0
588,88d464b1,1
589,d19953e8,1
590,1510d891,0
591,9d2c3899,0
592,bc3fe409,1
593,5a19bdfc,1
594,8d93d8c1,0
595,062073b0,1
596,247b73c9,1
597,ef0dc919,1
598,ede10936,1
599,c5b254a5,1
600,a82138d7,1
601,52108ff8,1
602,50a47464,1
603,c50c2170,1
604,c8078287,1
605,598ecec5,1
606,6cb0d078,0
607,fc71f6a7,1
608,beab260f,1
609,3abb758f,0
610,7c85ee7e,1
611,ccfad888,0
612,3f2cc781,0
613,8351a612,1
614,66287988,0
615,2a9a48a2,1
616,089c36cc,1
617,27036b2a,0
618,850cdcc0,0
619,26de276a,1
620,fa1d12e3,1
621,11323669,1
622,2c90b04d,1
623,a0fcdb37,1
624,28ee71e5,1
625,88f5da93,1
626,2d1a8c12,0
627,165129a5,0
628,d0d81e9f,0
629,9a662874,1
630,d886f898,1
631,dc9baeb5,1
632,dd7e11e4,1
633,1aafff27,0
634,9432f7ce,1
635,c35cbe6f,1
636,e8255f68,0
637,30730fbc,0
638,42e3bebd,0
639,dab06a79,0
640,c54e3fa3,1
641,9f9ac938,0
642,0903e2f6,1
643,30e05468,0
644,0c8483b3,0
645,2fdc076a,1
646,c32d56b1,0
647,c9895dfa,1
648,f19d82ec,1
649,39b81cf7,1
650,cdbbf2f7,0
651,9e8f33ef,0
652,5717037c,1
653,01eeb769,1
654,3954291d,1
655,e8be175e,1
656,0c669052,1
657,06bbfa04,1
658,3e28694a,0
659,48ac0ae2,0
660,201ef358,1
661,e9361d0d,1
662,5e4cbe36,0
663,8a9c19c0,1
664,78f6f26a,1
665,2148c995,0
666,6d16f510,1
667,a3a3e96c,0
668,825f35f4,1
669,b4cbe7a4,0
670,c76d14aa,0
671,541cd76b,1
672,5bfbad75,1
673,b3cf2ef9,0
674,cfc94f65,1
675,79bad345,1
676,0122f639,1
677,62b0f70d,0
678,fd3f5bd3,1
679,fbed1089,1
680,321797df,1
681,a2fe8b38,1
682,b313d176,1
683,f6d73775,1
684,de3d77a7,1
685,0e881f2d,1
686,577da757,1
687,47dda439,0
688,059cf1e1,0
689,427ec66a,1
690,618c4377,0
691,6216a44b,1
692,4c83b146,0
693,02470365,1
694,fced9865,0
695,99feb88a,1
696,9ce40c52,1
697,02c7f4fb,1
698,93084e5f,1
699,8ddece03,1
700,7f4383d0,0
701,39b635d5,0
702,e493cd3a,0
703,31836b02,0
704,5ec0427a,1
705,19071662,0
706,da951d16,1
707,7f2bd0c2,1
708,9d0bff4c,0
709,92123232,1
710,10137c8b,0
711,adbad6d7,1
712,7fe98a28,1
713,8a2af838,0
714,79c91555,1
715,c21a9df0,1
716,7aea8ef2,0
717,0d614c70,0
718,2e4f4da9,1
719,2059bf43,1
720,a9cffd3d,1
721,93f8061b,1
722,5a920b91,1
723,66339f5e,0
724,531eed3b,1
725,995ec157,1
726,f71b9ffe,0
727,6b9bb116,1
728,af623f3b,1
729,8aeb6c2d,0
730,8c33d69d,1
731,8db5eaa5,0
732,d1709331,1
733,9a074b3b,1
734,02e4fd04,0
735,214cc1cf,0
736,36be24b7,1
737,97771e2c,0
738,b435ca59,1
739,a6ff302c,0
740,c0026f4f,1
741,c832f1c7,1
742,339f9321,0
743,648dd20a,0
744,e07c70ac,1
745,276fbc1e,0
746,8c0510e1,1
747,1cd32270,1
748,41aed3c3,0
749,aeaf8406,1
750,fa75f185,0
751,d4b9b876,0
752,70b53bf1,1
753,22a9447b,1
754,a8406f6a,0
755,ffd83cad,1
756,c63103b6,1
757,c2c4d073,1
758,8c7ab018,0
759,2a38f83d,0
760,67cd8913,1
761,3bfd870f,0
762,2c96bccf,1
763,e3848ace,1
764,f159af46,0
765,e5ad5da0,1
766,8eef9e36,1
767,03c8266c,0
768,8f85cde8,1
769,ca072a5f,0
770,ec513e7d,0
771,3913c9fe,1
772,5944f6bf,0
773,23db4fd1,0
774,459951c4,1
775,1f90c5c8,1
776,30d3af2b,1
777,3dd78c14,1
778,e04a3677,1
779,edcf0350,1
780,8887debd,1
781,122dcfd1,1
782,51c9c6ae,1
783,668617e6,0
784,a2c8962a,1
785,09c4872c,1
786,07b16f41,1
787,22f17070,1
788,89d622e4,0
789,2f67632c,1
790,ed3c46fd,1
791,6dc4d2fc,1
792,8087ac12,0
793,ebd304ba,1
794,a952362c,1
795,5fff4de1,1
796,f43c770a,1
797,9e01d962,1
798,4c48856e,0
799,ad83fa19,0
800,d25e32d3,1
801,e23c7a04,1
802,0e178731,1
